Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,32,16,16,.500,2.71,3.31,6,10,12,5,3,11,2074,2082,62.5,102.6,.387,.367,.572,45.3,68.4,9.9,8.6,.540,17.7,20.4,.273
2,Akron,36,23,13,.639,2.15,-1.02,9,7,14,2,5,9,2524,2365,67.0,102.9,.313,.379,.530,47.9,58.3,9.8,10.0,.499,15.5,28.3,.220
3,Alabama A&M,28,13,15,.464,-15.19,-11.75,10,8,9,4,4,10,1808,1870,71.6,89.8,.418,.272,.472,48.8,53.6,11.6,13.0,.435,19.0,31.5,.261
4,Alabama-Birmingham,31,22,9,.710,8.55,2.78,12,4,13,2,8,5,2119,1940,63.1,105.7,.297,.405,.538,51.7,55.6,8.2,9.4,.508,16.6,33.4,.213
5,Alabama State,35,17,18,.486,-13.37,-10.31,11,7,10,3,4,14,2146,2234,66.5,91.6,.473,.317,.476,50.7,55.5,10.9,13.0,.440,19.7,35.6,.285
6,Alabama,37,25,12,.676,11.70,4.27,12,4,19,0,4,6,2473,2198,65.3,101.6,.316,.247,.520,52.0,48.8,14.4,12.2,.487,18.0,36.8,.223
7,Albany (NY),32,16,16,.500,-7.05,-5.96,9,7,7,6,7,8,2013,2048,61.0,101.1,.297,.369,.517,51.8,51.1,7.5,8.4,.494,17.6,35.1,.192
8,Alcorn State,28,4,24,.143,-23.02,-8.02,4,14,2,7,2,17,1838,2258,77.7,84.2,.469,.216,.452,43.4,41.5,10.0,7.9,.404,19.1,25.4,.297
9,American,31,22,9,.710,-3.13,-5.64,11,3,10,3,10,5,2051,1973,61.9,105.2,.375,.348,.543,52.4,60.1,6.5,8.2,.506,15.6,29.8,.269
10,Appalachian State,31,16,15,.516,-4.81,-2.95,10,8,9,3,6,8,2265,2269,68.9,105.5,.399,.335,.548,49.9,41.4,8.3,7.7,.511,16.5,30.3,.281
11,Arizona State,31,12,19,.387,4.30,7.20,4,14,8,7,2,10,1983,2073,64.4,99.0,.290,.409,.521,47.3,64.4,9.8,11.6,.501,16.7,27.7,.182
12,Arizona,38,30,8,.789,16.54,7.99,14,4,17,0,7,4,2905,2580,66.9,112.8,.436,.361,.583,53.1,55.3,7.7,7.4,.541,16.4,34.0,.325
13,Arkansas-Little Rock,36,19,17,.528,-4.32,-2.97,7,9,10,5,3,10,2457,2426,65.4,103.3,.423,.317,.528,48.9,52.5,8.9,6.7,.488,15.7,29.9,.292
14,Arkansas-Pine Bluff,31,7,24,.226,-20.00,-8.03,7,11,5,4,2,19,1850,2221,68.4,86.2,.401,.345,.483,46.7,56.9,10.9,6.4,.449,21.5,26.9,.252
15,Arkansas State,32,17,15,.531,-3.38,-3.31,11,5,13,0,4,10,2188,2066,65.6,103.8,.435,.294,.526,53.3,48.7,9.6,8.1,.481,16.9,35.9,.308
16,Arkansas,31,18,13,.581,6.28,2.34,7,9,15,3,2,7,2191,2069,67.7,102.8,.394,.325,.532,48.0,49.3,10.6,15.5,.495,16.8,30.7,.274
17,Army,30,11,19,.367,-10.71,-6.58,3,11,4,8,7,10,2038,2141,68.2,99.6,.298,.426,.525,48.7,57.0,8.3,5.4,.493,18.0,30.0,.212
18,Auburn,31,11,20,.355,-2.47,2.40,4,12,9,11,2,7,1933,2051,65.7,93.8,.391,.274,.481,49.4,51.7,11.7,8.1,.442,18.1,33.8,.257
19,Austin Peay,34,20,14,.588,-0.15,-3.77,13,5,10,3,8,9,2510,2279,68.6,105.4,.394,.264,.539,50.8,53.8,12.3,9.8,.506,17.4,35.6,.268
20,Ball State,32,19,13,.594,-0.70,-3.40,10,6,11,3,6,9,2164,2049,64.7,103.3,.504,.273,.538,50.3,60.2,9.2,5.4,.492,17.3,32.2,.349
21,Baylor,31,18,13,.581,10.00,4.80,7,9,15,3,2,6,2154,1984,66.5,104.0,.432,.293,.552,53.3,48.5,10.5,11.4,.515,20.2,36.6,.300
22,Belmont,35,30,5,.857,13.07,-4.42,19,1,12,0,12,4,2790,2178,69.2,114.3,.382,.422,.577,52.5,60.9,13.9,10.0,.542,16.8,37.4,.281
23,Bethune-Cookman,34,21,13,.618,-11.11,-8.04,13,3,11,3,9,7,2241,2240,63.5,101.6,.396,.244,.520,49.7,49.4,11.0,6.6,.477,16.3,32.4,.281
24,Binghamton,31,8,23,.258,-13.81,-5.35,4,12,3,10,4,12,1861,2123,61.6,96.7,.283,.402,.500,46.2,51.9,8.2,10.4,.468,17.2,30.0,.199
25,Boise State,35,22,13,.629,5.48,0.01,10,6,12,4,9,7,2594,2382,68.2,106.4,.419,.344,.540,50.4,51.3,12.4,7.2,.497,15.2,31.6,.302
26,Boston College,34,21,13,.618,9.78,7.31,9,7,12,5,5,6,2440,2356,64.1,111.9,.315,.433,.573,49.4,60.4,7.7,8.2,.545,15.1,30.3,.228
27,Boston University,35,21,14,.600,-2.48,-3.85,12,4,12,2,4,10,2270,2222,62.7,103.0,.373,.401,.517,50.2,46.1,8.6,11.5,.473,16.1,34.1,.272
28,Bowling Green State,33,14,19,.424,-5.94,-2.03,8,8,10,5,4,11,2116,2215,66.1,95.9,.305,.264,.497,48.1,56.0,12.8,7.7,.471,17.4,30.5,.196
29,Bradley,32,12,20,.375,-1.52,1.67,4,14,8,8,2,10,2076,2164,65.9,98.1,.333,.272,.512,48.3,50.0,9.5,6.2,.473,16.3,26.9,.240
30,Brigham Young,37,32,5,.865,18.65,5.76,14,2,13,1,10,1,3012,2512,71.1,113.4,.382,.382,.562,51.9,52.8,11.2,10.7,.518,13.2,31.2,.292
31,Brown,28,11,17,.393,-7.27,-4.12,4,10,8,5,3,12,2002,2054,69.5,102.5,.356,.389,.546,48.6,58.0,7.5,7.9,.506,15.9,23.3,.266
32,Bryant,30,9,21,.300,-12.98,-3.12,7,11,5,8,3,12,2001,2258,66.8,98.7,.319,.400,.516,47.0,56.8,8.2,8.1,.490,17.6,29.2,.208
33,Bucknell,34,25,9,.735,2.39,-3.87,13,1,14,1,10,6,2387,2174,66.1,105.9,.341,.315,.554,49.7,59.4,7.1,8.3,.509,15.1,25.2,.269
34,Buffalo,34,20,14,.588,2.93,-2.22,8,8,13,3,7,10,2399,2197,67.0,104.6,.359,.294,.550,52.5,54.4,11.7,13.9,.527,19.5,37.1,.233
35,Butler,38,28,10,.737,11.53,5.02,13,5,12,2,7,6,2707,2437,64.5,109.0,.377,.387,.541,52.3,49.2,9.1,4.7,.501,14.4,33.2,.273
36,Cal Poly,30,15,15,.500,-1.84,-2.39,10,6,7,5,8,9,1779,1766,61.4,96.1,.372,.393,.487,50.0,55.7,9.8,6.6,.450,16.5,32.7,.247
37,Cal State Bakersfield,28,9,19,.321,-11.44,-2.16,7,8,2,11,1907,2167,69.6,96.9,.360,.329,.490,46.5,50.1,10.4,8.0,.450,16.6,31.8,.248
38,Cal State Fullerton,31,11,20,.355,-7.68,-2.81,7,9,7,5,4,12,2208,2326,68.4,103.7,.420,.322,.549,49.6,52.3,7.6,3.9,.508,18.1,31.3,.302
39,Cal State Northridge,32,14,18,.438,-5.35,-1.55,9,7,7,5,5,10,2232,2280,70.0,99.6,.475,.314,.528,50.3,54.1,9.3,9.4,.487,19.5,33.0,.320
40,California-Davis,30,10,20,.333,-5.69,-1.90,4,12,7,7,3,11,2136,2194,68.0,102.4,.345,.393,.567,45.9,60.5,9.4,7.7,.534,18.5,23.7,.251
41,California-Irvine,32,13,19,.406,-3.78,-2.36,6,10,9,6,4,12,2411,2419,72.0,102.2,.414,.357,.532,47.8,48.9,9.0,4.7,.485,15.6,25.9,.304
42,California-Riverside,31,12,19,.387,-8.26,-1.40,6,10,7,5,4,11,2044,2164,66.6,97.8,.328,.264,.503,50.3,50.2,8.8,9.2,.470,17.7,33.2,.224
43,California-Santa Barbara,32,18,14,.563,1.22,0.12,8,8,9,4,5,8,2170,2105,65.1,102.9,.373,.373,.563,49.6,61.6,11.0,13.0,.523,19.3,28.4,.281
44,California,33,18,15,.545,9.45,9.17,10,8,12,6,5,6,2391,2382,68.5,103.9,.471,.270,.549,51.6,60.1,8.2,6.5,.508,17.3,30.4,.327
45,Campbell,31,12,19,.387,-6.67,-4.27,6,14,7,7,4,10,2032,2091,65.6,99.5,.404,.214,.520,49.9,57.3,10.7,12.0,.490,18.8,34.4,.259
46,Canisius,30,15,15,.500,-2.92,-3.55,9,9,10,4,5,10,2043,2024,67.3,101.2,.274,.380,.519,49.3,60.8,10.3,13.4,.491,17.5,34.1,.192
47,Centenary (LA),30,1,29,.033,-25.21,-2.85,1,17,1,10,0,19,1775,2422,70.8,83.6,.474,.289,.481,43.4,49.2,10.0,6.8,.440,23.0,26.6,.297
48,Central Arkansas,29,5,24,.172,-19.16,-5.39,1,15,4,9,0,14,1984,2216,72.4,94.2,.413,.318,.501,47.3,50.1,10.5,6.7,.466,19.3,31.4,.265
49,Central Connecticut State,31,19,12,.613,-1.94,-5.97,11,7,12,2,6,10,2170,2045,67.6,102.4,.361,.264,.527,51.1,59.0,11.0,9.4,.479,17.9,36.6,.276
50,Central Florida,33,21,12,.636,6.25,1.97,6,10,15,4,4,7,2271,2080,65.3,105.3,.464,.344,.550,51.7,52.8,9.3,17.1,.512,18.2,34.1,.321
51,Central Michigan,31,10,21,.323,-8.01,-2.41,7,9,6,7,3,13,1841,2006,64.8,90.5,.335,.278,.462,49.1,41.1,11.0,9.0,.430,17.5,32.3,.211
52,Charleston Southern,32,16,16,.500,-4.86,-4.57,9,9,12,2,3,12,2362,2197,69.0,106.6,.318,.302,.541,52.7,47.2,12.5,7.4,.502,17.4,37.3,.240
53,Charlotte,30,10,20,.333,-2.54,1.89,2,14,6,7,2,11,1997,2130,65.5,97.5,.376,.372,.520,50.4,52.4,9.4,9.4,.476,19.0,31.5,.274
54,Chattanooga,32,16,16,.500,-9.44,-2.67,12,6,10,6,6,10,2274,2380,70.8,99.2,.405,.463,.522,52.1,58.7,7.1,4.8,.491,18.4,31.0,.263
55,Chicago State,32,6,26,.188,-27.71,-4.88,3,9,4,6,1,17,2128,2772,74.7,88.0,.379,.259,.476,46.1,51.6,8.5,5.8,.439,19.9,28.4,.246
56,Cincinnati,35,26,9,.743,15.41,6.10,11,7,15,3,7,4,2412,2086,63.6,107.9,.383,.336,.526,53.2,58.6,11.5,10.0,.494,15.0,38.1,.256
57,Citadel,32,10,22,.313,-9.84,-2.84,6,12,6,8,3,12,2049,2237,64.4,99.1,.308,.278,.508,52.0,53.5,7.3,3.7,.472,16.9,33.0,.221
58,Clemson,34,22,12,.647,13.76,6.58,9,7,15,2,3,7,2330,2086,65.1,104.6,.385,.345,.539,51.2,54.9,12.2,13.5,.503,17.3,34.2,.270
59,Cleveland State,36,27,9,.750,7.59,1.74,13,5,17,3,9,5,2556,2291,66.5,106.8,.415,.351,.539,49.1,49.7,11.2,7.5,.494,14.9,31.2,.304
60,Coastal Carolina,34,28,6,.824,2.35,-5.15,16,2,15,3,10,2,2597,2178,68.0,111.2,.434,.253,.562,54.9,56.0,9.7,10.7,.528,16.3,36.6,.301
61,Colgate,30,7,23,.233,-15.80,-5.03,4,10,3,9,4,14,1947,2270,68.0,94.3,.375,.300,.507,49.9,55.5,8.4,7.8,.469,20.0,31.5,.256
62,College of Charleston,37,26,11,.703,6.17,-1.05,14,4,13,1,10,8,2821,2554,67.6,112.7,.274,.384,.574,49.4,47.9,8.5,11.2,.548,15.5,32.8,.203
63,Colorado State,32,19,13,.594,7.49,5.26,9,7,9,5,6,5,2279,2166,67.4,105.2,.420,.329,.557,51.2,53.1,10.7,7.2,.522,18.2,32.0,.291
64,Colorado,38,24,14,.632,11.45,5.61,8,8,18,2,3,9,3025,2787,69.1,114.0,.390,.276,.570,52.0,49.5,9.8,6.9,.524,14.5,35.3,.304
65,Columbia,28,15,13,.536,-5.22,-4.81,6,8,10,4,5,9,1982,1988,68.1,103.0,.358,.285,.516,52.5,46.2,9.4,7.2,.476,15.5,34.2,.256
66,Connecticut,41,32,9,.780,17.95,10.44,9,9,13,4,5,5,2967,2659,65.1,109.2,.338,.293,.526,52.9,50.7,9.5,13.3,.482,14.3,38.7,.258
67,Coppin State,30,16,14,.533,-8.70,-7.66,11,5,11,3,5,10,2175,2169,69.8,102.2,.341,.361,.529,48.8,45.3,10.3,6.0,.495,16.8,31.2,.239
68,Cornell,28,10,18,.357,-3.60,-1.60,6,8,6,6,3,11,1906,1962,66.0,102.6,.311,.425,.525,47.5,61.7,10.0,7.7,.496,15.8,29.5,.215
69,Creighton,39,23,16,.590,4.87,1.41,10,8,19,3,3,11,2684,2549,63.5,108.1,.360,.373,.563,52.9,60.7,6.7,9.6,.529,16.6,31.0,.263
70,Dartmouth,28,5,23,.179,-14.86,-3.39,1,13,3,8,2,15,1667,1988,66.2,89.5,.295,.284,.478,44.8,42.5,9.7,6.6,.442,18.1,26.6,.206
71,Davidson,33,18,15,.545,-0.39,-2.17,10,8,10,3,5,10,2392,2266,68.2,106.2,.359,.397,.542,53.1,51.9,7.2,8.6,.502,17.5,35.8,.263
72,Dayton,36,22,14,.611,4.87,3.20,7,9,14,5,6,6,2413,2353,66.0,100.6,.332,.329,.501,53.3,61.7,7.1,7.5,.468,16.7,35.7,.225
73,Delaware State,30,9,21,.300,-12.18,-6.39,5,11,6,4,3,16,1874,1967,61.3,101.1,.284,.377,.524,42.0,51.5,13.7,11.1,.493,15.9,27.9,.203
74,Delaware,31,14,17,.452,-3.79,-0.11,8,10,6,6,7,9,1951,2065,62.9,99.2,.402,.328,.514,48.4,48.7,5.8,11.7,.473,16.3,28.1,.278
75,Denver,30,13,17,.433,-4.04,-3.48,9,7,11,4,2,10,1800,1817,58.6,100.7,.381,.437,.575,44.7,66.1,9.3,14.2,.542,19.3,20.0,.276
76,DePaul,31,7,24,.226,-1.31,7.53,1,17,6,11,1,9,2104,2378,68.9,97.3,.333,.288,.505,44.5,58.2,10.7,8.0,.471,16.9,30.0,.227
77,Detroit Mercy,33,17,16,.515,1.88,0.91,10,8,11,4,6,11,2459,2397,70.5,104.1,.471,.260,.548,52.4,47.7,10.6,12.2,.509,18.9,36.4,.324
78,Drake,31,13,18,.419,-2.56,0.76,7,11,10,5,2,10,1997,2100,65.4,98.1,.381,.356,.526,45.8,52.3,8.6,8.4,.490,16.7,23.9,.261
79,Drexel,31,21,10,.677,4.02,-0.01,11,7,12,2,7,7,1975,1850,63.4,100.2,.403,.223,.489,56.6,48.4,6.4,6.4,.458,15.6,37.6,.248
80,Duke,37,32,5,.865,24.51,8.32,13,3,17,0,6,4,2993,2394,70.2,115.2,.374,.353,.576,51.9,50.9,10.4,11.3,.537,14.8,35.1,.282
81,Duquesne,32,19,13,.594,10.33,1.49,10,6,10,2,8,7,2494,2177,71.3,108.0,.417,.374,.546,48.0,65.5,13.7,14.2,.525,16.0,34.1,.259
82,East Carolina,34,18,16,.529,1.67,2.99,8,8,11,5,4,7,2319,2288,65.8,102.9,.494,.417,.543,48.5,59.9,9.8,9.4,.500,18.5,31.2,.342
83,East Tennessee State,36,24,12,.667,2.08,-2.12,16,4,13,2,9,7,2515,2320,66.0,105.2,.445,.281,.540,51.4,44.7,10.2,9.9,.503,17.2,33.9,.301
84,Eastern Illinois,29,9,20,.310,-11.41,-4.89,4,14,5,9,4,11,1749,1875,63.7,94.3,.320,.239,.500,51.2,57.2,9.3,6.2,.460,18.9,32.4,.232
85,Eastern Kentucky,31,15,16,.484,-7.34,-6.48,9,9,8,5,6,9,2046,1957,62.3,105.0,.328,.424,.559,47.1,61.7,9.6,9.3,.524,17.1,26.8,.243
86,Eastern Michigan,31,9,22,.290,-9.11,-3.11,5,11,7,6,1,13,1906,2030,67.2,91.1,.353,.392,.481,49.2,61.3,9.7,11.1,.452,18.6,28.7,.221
87,Eastern Washington,30,10,20,.333,-8.50,-2.22,7,9,8,6,2,14,2023,2119,66.5,100.5,.363,.389,.512,49.3,51.7,8.6,11.7,.480,17.4,34.0,.240
88,Elon,31,14,17,.452,-6.54,-3.32,7,11,8,5,5,9,2301,2301,70.3,105.6,.382,.439,.546,48.0,56.9,7.8,8.1,.508,15.8,28.6,.272
89,Evansville,32,16,16,.500,-0.30,1.80,9,9,13,3,3,12,2122,2147,66.1,100.0,.465,.257,.541,47.9,62.5,8.3,4.9,.496,17.7,25.4,.329
90,Fairfield,33,25,8,.758,2.94,-3.91,15,3,13,3,10,4,2150,1924,65.8,98.7,.389,.258,.505,51.8,58.2,12.4,8.9,.472,17.9,35.0,.255
91,Fairleigh Dickinson,29,5,24,.172,-13.34,-5.00,3,15,3,11,2,13,1866,2108,67.2,94.1,.394,.289,.486,50.2,52.6,8.4,8.9,.444,18.7,33.4,.266
92,Florida A&M,32,12,20,.375,-16.82,-8.71,7,9,11,3,1,16,2055,2196,68.7,92.0,.402,.349,.483,50.2,41.8,11.1,11.1,.453,20.0,35.5,.243
93,Florida Atlantic,32,21,11,.656,-2.41,-2.61,13,3,10,3,9,7,2191,2137,64.7,105.0,.392,.292,.523,49.1,50.5,9.2,12.6,.492,14.8,32.9,.258
94,Florida Gulf Coast,30,10,20,.333,-10.27,-3.11,7,13,6,8,4,12,1970,2185,69.2,93.7,.426,.319,.493,50.7,54.3,9.0,5.7,.454,20.2,35.3,.277
95,Florida International,30,11,19,.367,-9.33,-4.23,5,11,8,7,2,11,2150,2262,69.4,101.6,.490,.305,.532,47.7,44.6,11.7,9.8,.488,18.1,32.5,.336
96,Florida State,34,23,11,.676,13.48,6.45,11,5,12,3,8,5,2348,2109,69.3,99.4,.381,.333,.522,53.3,51.1,12.2,16.0,.490,19.6,35.6,.253
97,Florida,37,29,8,.784,16.27,7.57,13,3,14,3,8,2,2667,2345,63.9,110.3,.357,.317,.547,54.0,53.8,9.1,9.2,.521,15.8,37.2,.239
98,Fordham,28,7,21,.250,-8.77,1.01,1,15,6,6,1,10,1795,2069,67.9,94.4,.307,.331,.479,50.0,54.0,6.2,11.2,.452,17.5,34.2,.194
99,Fresno State,31,14,17,.452,-0.25,0.58,6,10,11,5,3,11,2096,2089,67.5,99.7,.390,.357,.508,50.8,59.4,12.6,10.3,.480,17.4,33.3,.245
100,Furman,33,22,11,.667,-0.36,-3.65,12,6,11,2,9,8,2271,2124,63.5,107.5,.405,.371,.556,52.2,52.8,8.0,10.6,.516,17.6,34.8,.294
101,Gardner-Webb,32,11,21,.344,-9.22,-2.72,6,12,6,5,3,16,1985,2129,65.9,93.7,.313,.359,.496,50.5,46.6,10.6,6.9,.469,19.3,31.8,.201
102,George Mason,34,27,7,.794,11.66,1.37,16,2,14,0,10,3,2474,2124,64.3,111.9,.386,.308,.562,51.5,55.1,10.1,8.5,.532,14.7,32.9,.266
103,George Washington,31,17,14,.548,-0.10,0.36,10,6,9,7,7,5,2011,2025,64.7,99.9,.376,.315,.497,51.1,52.1,9.9,10.5,.468,16.5,36.4,.236
104,Georgetown,32,21,11,.656,14.61,10.39,10,8,10,4,7,5,2258,2123,64.8,108.5,.334,.371,.572,52.0,59.5,9.3,13.0,.541,18.1,33.7,.245
105,Georgia Southern,32,5,27,.156,-15.88,-3.13,1,17,5,10,0,14,2090,2423,69.5,93.2,.401,.262,.528,47.8,51.1,12.3,7.2,.491,22.7,30.5,.276
106,Georgia State,31,12,19,.387,-4.15,-1.92,6,12,8,6,2,12,1919,1988,63.6,95.5,.328,.305,.495,51.9,57.1,10.0,12.7,.475,19.4,35.8,.195
107,Georgia Tech,31,13,18,.419,6.42,5.68,5,11,10,6,1,10,2102,2079,69.2,97.3,.318,.347,.492,50.7,54.3,13.7,10.4,.457,16.7,33.5,.219
108,Georgia,33,21,12,.636,10.43,6.13,9,7,12,4,7,4,2267,2125,64.6,104.0,.366,.250,.530,53.4,60.1,9.7,11.9,.495,17.3,36.8,.255
109,Gonzaga,35,25,10,.714,13.86,4.01,11,3,14,2,6,4,2684,2307,68.4,111.3,.416,.281,.576,54.8,58.2,10.5,9.4,.531,17.0,35.4,.317
110,Grambling,33,12,21,.364,-18.45,-10.45,8,10,4,6,5,13,1998,2262,69.1,86.3,.385,.303,.460,48.5,48.4,9.2,7.1,.425,19.1,29.4,.236
111,Green Bay,32,14,18,.438,-0.21,2.18,8,10,10,4,4,12,2154,2189,65.6,101.8,.345,.265,.514,51.3,47.9,9.4,9.0,.479,16.8,36.1,.238
112,Hampton,33,24,9,.727,-5.20,-8.77,11,5,8,3,8,5,2197,2070,67.3,97.5,.412,.357,.499,47.0,51.9,10.7,15.6,.463,15.9,29.7,.267
113,Hartford,31,11,20,.355,-10.04,-5.55,7,9,7,5,3,13,1857,1996,63.5,92.4,.235,.495,.476,45.3,54.6,12.1,8.7,.458,16.6,27.6,.141
114,Harvard,30,23,7,.767,4.88,-1.19,12,3,14,0,9,6,2144,1933,63.9,110.9,.433,.364,.596,51.8,60.6,9.2,14.1,.543,18.3,31.4,.351
